epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1027.04,1.93652,2.71917,1.81591,0.35975,0.47474,0.35729,0.17706,1.32091,168.531,1.17018,0.07006,0.00332667,0.00332667
2,2054.56,1.8591,1.97406,1.83217,0.56921,0.45016,0.46087,0.24048,1.14364,11.378,0.96934,0.0398986,0.00649865,0.00649865
3,3139.95,1.68431,1.68616,1.66263,0.44362,0.58044,0.42232,0.21819,1.25631,53.1456,1.05241,0.00911526,0.0090486,0.0090486
4,4131.61,1.65345,1.54353,1.65013,0.70239,0.47889,0.60918,0.26895,1.28584,4.96157,1.06866,0.00795954,0.00795954,0.00795954
5,5128.11,1.55005,1.34619,1.55377,0.7375,0.64932,0.69566,0.32225,1.17033,7.77542,0.96953,0.00657963,0.00657963,0.00657963
6,6159.08,1.46749,1.1356,1.4666,0.83136,0.61104,0.72787,0.31654,1.19388,4.92377,0.98436,0.00505,0.00505,0.00505
7,7247.49,1.4064,1.03365,1.4112,0.88485,0.63254,0.74498,0.31781,1.19765,1.87414,0.97765,0.00352037,0.00352037,0.00352037
8,8327.85,1.34403,0.93185,1.35709,0.8544,0.66632,0.79377,0.41766,1.08061,1.91602,0.89229,0.00214046,0.00214046,0.00214046
9,9396.49,1.25872,0.84917,1.29473,0.85855,0.7017,0.81884,0.41136,1.10998,1.99044,0.90805,0.00104537,0.00104537,0.00104537
10,10540.8,1.22538,0.80235,1.28046,0.85395,0.705,0.80958,0.4028,1.12049,1.85464,0.92206,0.00034227,0.00034227,0.00034227
